"","cc1","pconf3","pcomp3","cc2fixed","cc3","pconf1","pcomp1","cc4fixed","cc5","pconf2","pcomp2","cc6fixed","ResponseId","religion3","course","biomajor","institution","gender","semester","raceoriginal","pconf","pcomp"
"26",2,4,2,4,3,3,5,1,2,4,5,1,"R_1156yU2G7ueTvKF","Atheist",56,"Yes",16,"Woman","Fall 2020","White",3.66666666666667,4
"27",3,3,3,3,3,3,3,3,3,3,3,3,"R_115968L89ykice8","Atheist",48,"No",11,"Woman","Fall 2020","Asian",3,3
"28",4,2,2,4,2,4,5,1,4,2,5,1,"R_115ZZxgV0JLeznN","Atheist",51,"Yes",13,"Man","Fall 2020","White",2.66666666666667,4
"29",1,5,3,3,1,5,4,2,4,2,5,1,"R_11hzbIYZtsnXkSg","Atheist",56,"No",16,"Man","Fall 2020","White",4,4
"30",4,2,3,3,2,4,2,4,4,2,4,2,"R_11ipXu6ZfTaQ0LT","Atheist",37,"No",20,"Woman","Spring 2020","White",2.66666666666667,3
"31",4,2,3,3,3,3,4,2,3,3,4,2,"R_11jVjHMiTe3KjfC","Atheist",33,"No",13,"Man","Spring 2020","Multiracial",2.66666666666667,3.66666666666667
"32",3,3,4,2,2,4,4,2,3,3,3,3,"R_11XWXfissf0cOgS","Atheist",56,"No",16,"Woman","Fall 2020","Asian",3.33333333333333,3.66666666666667
"33",4,2,3,3,2,4,5,1,3,3,5,1,"R_11Z1KOQmQoT2trn","Atheist",73,"No",16,"Man","Spring 2021","Asian",3,4.33333333333333
"34",2,4,3,3,2,4,4,2,2,4,4,2,"R_1257zutMU74xURR","Atheist",43,"Yes",1,"Woman","Fall 2020","White",4,3.66666666666667
"35",4,2,4,2,1,5,5,1,2,4,4,2,"R_12GsSJZv8JFrzzp","Atheist",56,"No",16,"Woman","Fall 2020","Asian",3.66666666666667,4.33333333333333
"36",4,2,4,2,2,4,4,2,2,4,5,1,"R_12nczuBh1gRpxQx","Atheist",73,"No",16,"Woman","Spring 2021","White",3.33333333333333,4.33333333333333
"37",4,2,4,2,3,3,4,2,3,3,4,2,"R_12yfRVTAhb63m6T","Atheist",49,"Yes",12,"Woman","Fall 2020","White",2.66666666666667,4
"38",2,4,2,4,2,4,4,2,3,3,5,1,"R_1AGG3lHaYpR4SHv","Atheist",55,"No",17,"Woman","Fall 2020","Black",3.66666666666667,3.66666666666667
"39",2,4,2,4,2,4,4,2,2,4,4,2,"R_1AKWEQFijUQDguB","Atheist",49,"No",12,"Woman","Fall 2020","Asian",4,3.33333333333333
"40",4,2,4,2,4,2,4,2,2,4,5,1,"R_1BqdBAE1KXwWyt3","Atheist",40,"No",23,"Woman","Spring 2020","Multiracial",2.66666666666667,4.33333333333333
"41",2,4,4,2,2,4,1,5,4,2,3,3,"R_1BWaJhK8no8Sqlw","Atheist",7,"No",8,"Woman","Fall 2018","White",3.33333333333333,2.66666666666667
"42",5,1,5,1,3,3,5,1,3,3,5,1,"R_1BX7ZETBk92krjb","Atheist",38,"No",20,"Woman","Spring 2020","Multiracial",2.33333333333333,5
"43",1,5,4,2,1,5,5,1,1,5,5,1,"R_1C3EwtTdJqCva8X","Atheist",48,"No",11,"Woman","Fall 2020","Asian",5,4.66666666666667
"44",1,5,1,5,2,4,3,3,2,4,3,3,"R_1C3IS6y9OsuKgR7","Atheist",36,"No",19,"Woman","Spring 2020","White",4.33333333333333,2.33333333333333
"45",3,3,3,3,3,3,4,2,2,4,4,2,"R_1C7rRA4nNxud0Qj","Atheist",8,"Yes",11,"Woman","Fall 2018","Native",3.33333333333333,3.66666666666667
"46",1,5,1,5,1,5,1,5,1,5,2,4,"R_1C8gN62aJaTNQnD","Atheist",29,"Yes",12,"Woman","Spring 2020","Asian",5,1.33333333333333
"47",3,3,3,3,4,2,4,2,3,3,4,2,"R_1C93mk3ffyHUPd2","Atheist",21,"No",4,"Man","Spring 2020","White",2.66666666666667,3.66666666666667
"48",3,3,4,2,4,2,4,2,4,2,4,2,"R_1C9fqST6AF1W2Tw","Atheist",74,"No",17,"Woman","Spring 2021","White",2.33333333333333,4
"49",3,3,4,2,2,4,5,1,4,2,4,2,"R_1CBD18qGCNuOxi2","Atheist",40,"No",23,"Man","Spring 2020","Latinx",3,4.33333333333333
"50",3,3,3,3,4,2,4,2,2,4,4,2,"R_1CeeuKhdzQ86ijw","Atheist",73,"Yes",16,"Woman","Spring 2021","White",3,3.66666666666667
"51",3,3,2,4,2,4,4,2,3,3,4,2,"R_1CefhMjzA7vBjnq","Atheist",40,"Yes",23,"Man","Spring 2020","Multiracial",3.33333333333333,3.33333333333333
"52",3,3,4,2,4,2,5,1,2,4,5,1,"R_1Cfsukzy0w2Qzg5","Atheist",73,"Yes",16,"Woman","Spring 2021","Multiracial",3,4.66666666666667
"53",4,2,5,1,2,4,5,1,3,3,5,1,"R_1ClRVmqsHSJgSnL","Atheist",48,"No",11,"Woman","Fall 2020","Multiracial",3,5
"54",2,4,2,4,1,5,4,2,1,5,4,2,"R_1CqJI1vHXx80P30","Atheist",39,"Yes",22,"Man","Spring 2020","White",4.66666666666667,3.33333333333333
"55",3,3,3,3,2,4,4,2,2,4,4,2,"R_1cTeZCxbtUletil","Atheist",52,"Yes",14,"Woman","Fall 2020","White",3.66666666666667,3.66666666666667
"56",4,2,2,4,3,3,4,2,3,3,5,1,"R_1CvvL4e23kvOP29","Atheist",48,"No",11,"Woman","Fall 2020","White",2.66666666666667,3.66666666666667
"57",4,2,3,3,5,1,3,3,3,3,3,3,"R_1Cywr05BTSBYLe2","Atheist",10,"Yes",18,"Woman","Fall 2018","White",2,3
"58",2,4,2,4,4,2,3,3,4,2,4,2,"R_1cYwSJZQlN2PAbn","Atheist",73,"No",16,"Woman","Spring 2021","Latinx",2.66666666666667,3
"59",2,4,4,2,2,4,4,2,1,5,4,2,"R_1d6KyWxCFE8Z8C2","Atheist",33,"Yes",13,"Woman","Spring 2020","Multiracial",4.33333333333333,4
"60",1,5,4,2,3,3,5,1,3,3,5,1,"R_1d6zmSYXYfFbAWG","Atheist",48,"Yes",11,"Man","Fall 2020","White",3.66666666666667,4.66666666666667
"61",3,3,3,3,3,3,3,3,3,3,3,3,"R_1dAZXdLvZ53oqGf","Atheist",43,"No",1,"Woman","Fall 2020",NA,3,3
"62",3,3,3,3,3,3,4,2,3,3,4,2,"R_1DB97W14VdtMiyh","Atheist",56,"Yes",16,"Woman","Fall 2020","Multiracial",3,3.66666666666667
"63",2,4,2,4,2,4,3,3,2,4,3,3,"R_1dcbnzZS5nLnEzy","Atheist",28,"No",11,"Woman","Spring 2020",NA,4,2.66666666666667
"64",3,3,5,1,4,2,4,2,1,5,5,1,"R_1DGb6zrXlvNL9XQ","Atheist",50,"No",13,"Woman","Fall 2020","Black",3.33333333333333,4.66666666666667
"65",3,3,4,2,3,3,5,1,4,2,5,1,"R_1DGO323ISCqPgTr","Atheist",56,"Yes",16,"Woman","Fall 2020","Multiracial",2.66666666666667,4.66666666666667
"66",2,4,2,4,3,3,4,2,3,3,4,2,"R_1dHycM6Rt2SX8DK","Atheist",48,"No",11,"Man","Fall 2020","White",3.33333333333333,3.33333333333333
"67",4,2,4,2,4,2,4,2,4,2,4,2,"R_1dK13YGg41OYsBV","Atheist",56,"Yes",16,"Man","Fall 2020","Asian",2,4
"68",2,4,3,3,2,4,4,2,2,4,4,2,"R_1DMbGfCqqR0HI1V","Atheist",56,"Yes",16,"Woman","Fall 2020","Latinx",4,3.66666666666667
"69",3,3,4,2,2,4,4,2,4,2,4,2,"R_1DN2Kih9219ASdT","Atheist",56,"Yes",16,"Woman","Fall 2020","White",3,4
"70",3,3,2,4,2,4,4,2,3,3,4,2,"R_1DnANccJHTNdQWG","Atheist",70,"Yes",13,"Man","Spring 2021","Multiracial",3.33333333333333,3.33333333333333
"71",1,5,1,5,3,3,3,3,2,4,4,2,"R_1dNayUFTb7vDMtD","Atheist",15,"No",1,"Man","Spring 2020","White",4,2.66666666666667
"72",4,2,4,2,4,2,4,2,4,2,4,2,"R_1DnY1gjUTeWrhVU","Atheist",56,"Yes",16,"Woman","Fall 2020","Asian",2,4
"73",5,1,5,1,2,4,4,2,4,2,5,1,"R_1DNZGmJw18uWpK0","Atheist",43,"Yes",1,"Woman","Fall 2020","White",2.33333333333333,4.66666666666667
"74",4,2,4,2,3,3,5,1,4,2,5,1,"R_1DUUlJoYoacmH0C","Atheist",61,"Yes",7,"Woman","Spring 2021","White",2.33333333333333,4.66666666666667
"75",5,1,3,3,2,4,5,1,3,3,5,1,"R_1dv2BQK6Q1lxpeh","Atheist",48,"Yes",11,"Man","Fall 2020","Black",2.66666666666667,4.33333333333333
"76",5,1,5,1,5,1,5,1,5,1,5,1,"R_1Dwq0cfMVRKJX6K","Atheist",44,"No",3,"Man","Fall 2020","White",1,5
"77",4,2,4,2,3,3,5,1,2,4,4,2,"R_1DXQ2LMUZ8A9a0W","Atheist",66,"Yes",12,"Woman","Spring 2021","White",3,4.33333333333333
"78",2,4,3,3,3,3,4,2,1,5,4,2,"R_1DXTIPfY3jniXgT","Atheist",55,"Yes",17,"Woman","Fall 2020","White",4,3.66666666666667
"79",4,2,4,2,4,2,5,1,2,4,5,1,"R_1dzEFf3X3hsx8m8","Atheist",74,"Yes",17,"Woman","Spring 2021","Latinx",2.66666666666667,4.66666666666667
"80",2,4,2,4,3,3,2,4,2,4,3,3,"R_1dzf3PvP5bhJrBr","Atheist",73,"Yes",16,"Man","Spring 2021","White",3.66666666666667,2.33333333333333
"81",2,4,4,2,2,4,3,3,4,2,5,1,"R_1E11JOR4sSTbpve","Atheist",58,"Yes",1,"Woman","Spring 2021","Latinx",3.33333333333333,4
"82",2,4,4,2,4,2,4,2,4,2,4,2,"R_1Ec8HASCNQUYxPi","Atheist",68,"Yes",13,"Woman","Spring 2021","White",2.66666666666667,4
"83",3,3,4,2,1,5,4,2,4,2,4,2,"R_1EdupliPnAbYIZ7","Atheist",14,"Yes",1,"Woman","Spring 2020","White",3.33333333333333,4
"84",4,2,3,3,2,4,5,1,3,3,4,2,"R_1EhOc8usAuJODE4","Atheist",56,"Yes",16,"Woman","Fall 2020","Asian",3,4
"85",2,4,3,3,2,4,5,1,3,3,4,2,"R_1eKO9QK2ooen9mE","Atheist",71,"Yes",14,"Woman","Spring 2021","Multiracial",3.66666666666667,4
"86",4,2,3,3,3,3,5,1,4,2,5,1,"R_1eKv86GYP54ofO1","Atheist",56,"Yes",16,"Woman","Fall 2020","White",2.33333333333333,4.33333333333333
"87",2,4,4,2,3,3,4,2,2,4,4,2,"R_1eOzg3NDBm53ZTs","Atheist",7,"No",8,"Woman","Fall 2018","White",3.66666666666667,4
"88",1,5,2,4,2,4,5,1,2,4,5,1,"R_1esHl053r2x4POF","Atheist",49,"No",12,"Man","Fall 2020","Latinx",4.33333333333333,4
"89",3,3,4,2,4,2,4,2,4,2,4,2,"R_1EUGjMZ8tiU1KCd","Atheist",56,"Yes",16,"Woman","Fall 2020","Latinx",2.33333333333333,4
"90",3,3,3,3,3,3,3,3,3,3,3,3,"R_1EZgqwoVrRtIqdc","Atheist",28,"No",11,"Woman","Spring 2020","White",3,3
"91",2,4,2,4,2,4,2,4,1,5,2,4,"R_1ezyp5eM3mktltu","Atheist",42,"Yes",1,"Woman","Fall 2020","White",4.33333333333333,2
"92",1,5,5,1,1,5,5,1,1,5,4,2,"R_1F2LwiNOo4WK8RK","Atheist",32,"No",13,"Man","Spring 2020","Latinx",5,4.66666666666667
"93",3,3,2,4,3,3,3,3,2,4,2,4,"R_1f3lBIjNO4G7GDw","Atheist",48,"Yes",11,"Woman","Fall 2020","White",3.33333333333333,2.33333333333333
"94",1,5,1,5,1,5,5,1,1,5,5,1,"R_1F5N8ckv6m1CGG5","Atheist",56,"Yes",16,"Woman","Fall 2020","Latinx",5,3.66666666666667
"95",4,2,4,2,4,2,5,1,3,3,5,1,"R_1F5uVNAeaa2JgDC","Atheist",49,"Yes",12,"Woman","Fall 2020","Multiracial",2.33333333333333,4.66666666666667
"96",4,2,5,1,4,2,5,1,4,2,5,1,"R_1F8qsUesrm9UvYl","Atheist",56,"No",16,"Woman","Fall 2020","Multiracial",2,5
"97",4,2,3,3,4,2,4,2,3,3,4,2,"R_1f9gsHHsodPJK1d","Atheist",56,"Yes",16,"Woman","Fall 2020","White",2.33333333333333,3.66666666666667
"98",2,4,3,3,3,3,4,2,2,4,4,2,"R_1fdTCGE6hJqMFf4","Atheist",56,"Yes",16,"Woman","Fall 2020","Asian",3.66666666666667,3.66666666666667
"99",2,4,2,4,2,4,2,4,2,4,2,4,"R_1FeuEjxww3oK7nr","Atheist",14,"No",1,"Man","Spring 2020","White",4,2
"100",2,4,2,4,4,2,4,2,4,2,4,2,"R_1Ff6B5wBGYv8XCF","Atheist",70,"Yes",13,"Man","Spring 2021","Latinx",2.66666666666667,3.33333333333333
"101",3,3,3,3,2,4,3,3,3,3,3,3,"R_1FfxAK2vLr5ESJy","Atheist",56,"Yes",16,"Man","Fall 2020","Asian",3.33333333333333,3
"102",4,2,5,1,4,2,5,1,4,2,5,1,"R_1FIYMctp35qZvrf","Atheist",50,"Yes",13,"Man","Fall 2020","Asian",2,5
"103",4,2,4,2,4,2,4,2,3,3,4,2,"R_1FJTL8WzmZlsFWu","Atheist",10,"Yes",18,"Man","Fall 2018","Multiracial",2.33333333333333,4
"104",4,2,2,4,4,2,4,2,5,1,5,1,"R_1fkkeinlP00lFTg","Atheist",10,"Yes",18,"Woman","Fall 2018","Multiracial",1.66666666666667,3.66666666666667
"105",4,2,4,2,2,4,5,1,4,2,5,1,"R_1FljDTETL9qLrsm","Atheist",35,"No",14,"Woman","Spring 2020","White",2.66666666666667,4.66666666666667
"106",4,2,4,2,2,4,2,4,2,4,4,2,"R_1fmabrih08jvYMR","Atheist",9,"Yes",16,"Woman","Fall 2018","White",3.33333333333333,3.33333333333333
"107",2,4,3,3,1,5,4,2,2,4,5,1,"R_1FrLHj2lz5RsM1c","Atheist",49,"Yes",12,"Man","Fall 2020","White",4.33333333333333,4
"108",4,2,3,3,4,2,4,2,4,2,4,2,"R_1FtBCmx1VNhSGPV","Atheist",56,"No",16,"Woman","Fall 2020","White",2,3.66666666666667
"109",1,5,1,5,3,3,4,2,3,3,4,2,"R_1FtigHP1xvpE7lU","Atheist",36,"No",19,"Man","Spring 2020",NA,3.66666666666667,3
"110",3,3,2,4,4,2,3,3,3,3,3,3,"R_1FtW0sdNWrsxYFd","Atheist",49,"No",12,"Woman","Fall 2020","Asian",2.66666666666667,2.66666666666667
"111",3,3,3,3,2,4,2,4,2,4,3,3,"R_1FxLsyR1U1mDYLU","Atheist",50,"Yes",13,"Woman","Fall 2020","Latinx",3.66666666666667,2.66666666666667
"112",4,2,4,2,3,3,4,2,2,4,4,2,"R_1fZ6MmiyDxW4XIk","Atheist",56,"Yes",16,"Woman","Fall 2020","Asian",3,4
"113",4,2,4,2,3,3,4,2,3,3,4,2,"R_1FzcBf2EWSMAiOL","Atheist",48,"No",11,"Woman","Fall 2020","Asian",2.66666666666667,4
"114",3,3,3,3,2,4,2,4,1,5,3,3,"R_1fZYXjU4Q33t1cg","Atheist",14,"No",1,"Man","Spring 2020","Latinx",4,2.66666666666667
"115",4,2,1,5,2,4,4,2,2,4,4,2,"R_1gb9iQexVd5bD97","Atheist",56,"No",16,"Woman","Fall 2020","Multiracial",3.33333333333333,3
"116",2,4,2,4,4,2,3,3,2,4,4,2,"R_1gbEAW6j8LAiGoN","Atheist",42,"Yes",1,"Woman","Fall 2020","Multiracial",3.33333333333333,3
"117",3,3,4,2,4,2,4,2,3,3,3,3,"R_1GCCjpRSBps0GP7","Atheist",56,"No",16,"Woman","Fall 2020","Asian",2.66666666666667,3.66666666666667
"118",2,4,4,2,1,5,4,2,2,4,5,1,"R_1gFKLo5S4aCi5xG","Atheist",38,"Yes",20,"Man","Spring 2020","Asian",4.33333333333333,4.33333333333333
"119",4,2,4,2,2,4,5,1,4,2,5,1,"R_1GGTQfhsKYD4asN","Atheist",55,"Yes",17,"Woman","Fall 2020","White",2.66666666666667,4.66666666666667
"120",3,3,4,2,4,2,4,2,2,4,4,2,"R_1gGUtcVALBxuinK","Atheist",63,"No",8,"Woman","Spring 2021","White",3,4
"121",3,3,3,3,3,3,3,3,3,3,3,3,"R_1GIDl2lAlg73VMY","Atheist",33,"Yes",13,"Woman","Spring 2020","White",3,3
"122",3,3,2,4,2,4,3,3,3,3,3,3,"R_1gIulNmvBuCrnbF","Atheist",56,"Yes",16,"Man","Fall 2020","Asian",3.33333333333333,2.66666666666667
"123",2,4,4,2,2,4,5,1,1,5,5,1,"R_1gNoZCVfhE1MGyf","Atheist",56,"No",16,"Woman","Fall 2020","Asian",4.33333333333333,4.66666666666667
"124",2,4,4,2,1,5,4,2,1,5,2,4,"R_1gNqEyXOeH5KZ5y","Atheist",57,"Yes",1,"Woman","Spring 2021","White",4.66666666666667,3.33333333333333
"125",2,4,3,3,2,4,4,2,2,4,4,2,"R_1GQeQ9lir6IxZD4","Atheist",56,"No",16,"Man","Fall 2020","Latinx",4,3.66666666666667
"126",5,1,4,2,2,4,4,2,2,4,4,2,"R_1GV41uSelKwozDT","Atheist",28,"No",11,"Woman","Spring 2020","Multiracial",3,4
"127",3,3,3,3,2,4,4,2,3,3,4,2,"R_1GVXyJV2VSNcfmF","Atheist",48,"Yes",11,"Woman","Fall 2020","Black",3.33333333333333,3.66666666666667
"128",4,2,4,2,3,3,4,2,4,2,4,2,"R_1gw4BmircM05sas","Atheist",8,"Yes",11,"Woman","Fall 2018","Multiracial",2.33333333333333,4
"129",4,2,3,3,4,2,4,2,3,3,4,2,"R_1GwPtls03K7VFmr","Atheist",33,"Yes",13,"Woman","Spring 2020","Latinx",2.33333333333333,3.66666666666667
"130",4,2,3,3,1,5,4,2,1,5,4,2,"R_1GxWVEa4FqE3ZsU","Atheist",56,"Yes",16,"Woman","Fall 2020","Asian",4,3.66666666666667
"131",4,2,4,2,3,3,5,1,2,4,4,2,"R_1Gy8u4fMXnwBpV7","Atheist",56,"No",16,"Woman","Fall 2020","Asian",3,4.33333333333333
"132",3,3,4,2,2,4,3,3,3,3,4,2,"R_1H66viK3reOcLfx","Atheist",56,"Yes",16,"Man","Fall 2020","Asian",3.33333333333333,3.66666666666667
"133",2,4,2,4,2,4,4,2,2,4,4,2,"R_1hEhHY9g8uFm26n","Atheist",29,"Yes",12,"Man","Spring 2020","Multiracial",4,3.33333333333333
"134",2,4,1,5,2,4,4,2,1,5,4,2,"R_1hF1ho1EKMQzcDL","Atheist",18,"No",3,"Man","Spring 2020","Asian",4.33333333333333,3
"135",3,3,2,4,5,1,2,4,5,1,4,2,"R_1hG24owdqGanrLb","Atheist",15,"Yes",1,"Woman","Spring 2020","White",1.66666666666667,2.66666666666667
"136",4,2,4,2,4,2,4,2,3,3,4,2,"R_1hGOr4Hyk6xR95A","Atheist",8,"Yes",11,"Woman","Fall 2018","White",2.33333333333333,4
"137",4,2,5,1,4,2,5,1,4,2,5,1,"R_1HhEwM9YhSgOH1n","Atheist",50,"No",13,"Man","Fall 2020","White",2,5
"138",4,2,4,2,4,2,4,2,2,4,4,2,"R_1HictwzZ6v0I0tH","Atheist",52,"No",14,"Woman","Fall 2020","White",2.66666666666667,4
"139",2,4,4,2,2,4,5,1,5,1,5,1,"R_1HiRgNoce20OMvI","Atheist",10,"Yes",18,"Woman","Fall 2018","Asian",3,4.66666666666667
"140",4,2,3,3,2,4,3,3,2,4,4,2,"R_1HjiXAnIKCLXuvH","Atheist",14,"No",1,"Man","Spring 2020","Latinx",3.33333333333333,3.33333333333333
"141",5,1,3,3,3,3,5,1,4,2,5,1,"R_1hLlyV5BZlg4iAX","Atheist",56,"No",16,"Woman","Fall 2020","Asian",2,4.33333333333333
"142",2,4,3,3,2,4,2,4,1,5,3,3,"R_1hMAC8I9LNWjr9T","Atheist",51,"Yes",13,"Woman","Fall 2020","Asian",4.33333333333333,2.66666666666667
"143",2,4,3,3,2,4,5,1,3,3,4,2,"R_1HpmHpTkqyg2t2j","Atheist",56,"Yes",16,"Woman","Fall 2020","White",3.66666666666667,4
"144",3,3,4,2,2,4,4,2,3,3,4,2,"R_1hQij1OU7KnqcMS","Atheist",48,"No",11,"Man","Fall 2020","White",3.33333333333333,4
"145",2,4,1,5,2,4,3,3,3,3,3,3,"R_1hWmE5YCxpHIgyp","Atheist",1,"Yes",1,"Woman","Fall 2018","White",3.66666666666667,2.33333333333333
"146",4,2,5,1,4,2,5,1,5,1,5,1,"R_1i2lzjvmXnEtgwX","Atheist",76,"Yes",19,"Woman","Spring 2021","White",1.66666666666667,5
"147",2,4,3,3,2,4,4,2,2,4,4,2,"R_1i3EGZgyNHMgEal","Atheist",7,"Yes",8,"Woman","Fall 2018","White",4,3.66666666666667
"148",4,2,4,2,4,2,4,2,4,2,5,1,"R_1I42LP1Db08P317","Atheist",78,"No",24,"Woman","Spring 2021","White",2,4.33333333333333
"149",3,3,4,2,4,2,4,2,4,2,4,2,"R_1i4fxCBri7Gzmpk","Atheist",56,"No",16,"Woman","Fall 2020","Asian",2.33333333333333,4
"150",4,2,4,2,3,3,4,2,4,2,4,2,"R_1I7dGlL3cv2Kdkt","Atheist",21,"No",4,"Woman","Spring 2020","White",2.33333333333333,4
"151",2,4,2,4,2,4,4,2,2,4,4,2,"R_1i9GhPfgN4fJnA0","Atheist",43,"Yes",1,"Man","Fall 2020","White",4,3.33333333333333
"152",3,3,1,5,1,5,3,3,1,5,3,3,"R_1iaD0N6EoQocWPr","Atheist",24,"Yes",6,"Woman","Spring 2020","White",4.33333333333333,2.33333333333333
"153",4,2,3,3,4,2,4,2,4,2,4,2,"R_1ibdJIPpWKNa43e","Atheist",48,"No",11,"Woman","Fall 2020","Black",2,3.66666666666667
"154",4,2,4,2,3,3,4,2,2,4,4,2,"R_1IdcTAZSIw1bwNc","Atheist",48,"No",11,"Woman","Fall 2020","White",3,4
"155",4,2,4,2,4,2,4,2,1,5,4,2,"R_1ieV2M3qnJJejxq","Atheist",37,"Yes",20,"Woman","Spring 2020","Multiracial",3,4
"156",4,2,4,2,4,2,4,2,4,2,4,2,"R_1ifHNZdml9nu3h6","Atheist",56,"Yes",16,"Woman","Fall 2020","White",2,4
"157",2,4,4,2,4,2,4,2,4,2,4,2,"R_1IMBmQDmxd0I9nb","Atheist",51,"No",13,"Woman","Fall 2020","White",2.66666666666667,4
"158",4,2,5,1,2,4,5,1,2,4,5,1,"R_1irKfleRgBcksX1","Atheist",39,"No",22,"Woman","Spring 2020","White",3.33333333333333,5
"159",2,4,4,2,1,5,3,3,1,5,3,3,"R_1is9eMsOeM3UuS9","Atheist",50,"No",13,"Man","Fall 2020","White",4.66666666666667,3.33333333333333
"160",4,2,4,2,2,4,4,2,1,5,4,2,"R_1ISgMyegREvfu4U","Atheist",14,"No",1,"Man","Spring 2020","Asian",3.66666666666667,4
"161",3,3,3,3,2,4,5,1,3,3,4,2,"R_1IT8PhT0L47frCW","Atheist",56,"No",16,"Woman","Fall 2020","Asian",3.33333333333333,4
"162",1,5,1,5,1,5,1,5,1,5,1,5,"R_1ItR5SUVlonHsNO","Atheist",63,"Yes",8,"Woman","Spring 2021","White",5,1
